AC No., AC ,PC,District,Percentage of total population,,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
,,,,Hindu Range,Muslim Range,Sikh Range,SC Pop.,Rural Range,Urban Range,Person,Male,Female,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age
89,Jaitu (SC),Faridkot (SC),Faridkot,10-15,0-5,85-90,37.67,80-85,15-20,65-70,70-75,60-65,INC,44.59,SAD,38.87,PPOP,11.12,AAP,43.98,SAD,28.12,INC,23.20
90,Rampura Phul,Faridkot (SC),Bathinda,15-20,0-5,80-85,30.33,65-70,30-35,65-70,70-75,60-65,SAD,45.80,INC,41.76,PPOP,7.93,SAD,34.80,INC,34.18,AAP,26.32
91,Bhucho Mandi (SC),Bathinda,Bathinda,10-15,0-5,85-90,35.24,85-90,10-15,65-70,70-75,55-60,INC,42.38,SAD,41.43,PPOP,11.96,SAD,44.86,INC,41.24,AAP,7.67
92,Bathinda Urban,Bathinda,Bathinda,25-30,0-5,70-75,21.31,0-5,95-100,75-80,70-75,60-65,SAD,46.07,INC,41.18,PPOP,7.92,INC,50.26,SAD,29.59,AAP,14.77
93,Bathinda Rural (SC),Bathinda,Bathinda,20-25,0-5,75-80,31.57,80-85,15-20,65-70,70-75,55-60,SAD,41.57,INC,36.74,CPI,16.06,INC,44.79,SAD,41.55,AAP,6.93
94,Talwandi Sabo,Bathinda,Bathinda,15-20,0-5,80-85,30.83,75-80,15-20,60-65,65-70,50-55,INC,46.90,SAD,39.46,PPOP,7.77,SAD,44.04,INC,33.56,AAP,14.48
95,Maur,Bathinda,Bathinda,10-15,0-5,85-90,31.22,80-85,10-15,60-65,65-70,55-60,SAD,37.12,INC,35.99,PPOP,21.61,SAD,44.43,INC,42.99,AAP,6.09
96,Mansa,Bathinda,Mansa,20-25,0-5,70-75,28.41,60-65,35-40,65-70,65-70,55-60,SAD,37.53,INC,36.65,CPI,20.53,INC,51.03,SAD,35.74,AAP,5.87
97,Sardulgarh,Bathinda,Mansa,15-20,0-5,80-85,30.22,90-95,5-10,55-60,65-70,50-55,INC,45.91,SAD,43.92,PPOP,5.50,SAD,52.38,INC,37.15,AAP,3.62
98,Budhlada (SC),Bathinda,Mansa,15-20,0-5,80-85,32.51,80-85,15-20,60-65,65-70,50-55,SAD,37.61,INC,32.90,PPOP,21.46,SAD,45.55,INC,43.29,AAP,3.37
99,Lehra,Sangrur,Sangrur,40-45,0-5,50-55,27.48,75-80,20-25,60-65,65-70,50-55,INC,37.27,SAD,34.48,PPOP,21.79,SAD,40.04,AAP,30.27,INC,21.99
100,Dirba (SC),Sangrur,Sangrur,10-15,0-5,80-85,30.28,90-95,5-10,55-60,60-65,50-55,SAD,45.95,INC,40.69,PPOP,5.65,AAP,45.98,SAD,33.87,INC,13.43
101,Sunam,Sangrur,Sangrur,20-25,0-5,75-80,28.09,55-60,40-45,65-70,70-75,60-65,SAD,48.28,INC,44.96,PPOP,2.54,AAP,43.91,SAD,34.83,INC,16.07
102,Bhadaur (SC),Sangrur,Barnala,10-15,0-5,80-85,31.69,75-80,15-20,60-65,65-70,55-60,INC,46.67,SAD,40.51,CPI,4.19,AAP,53.45,SAD,28.08,INC,12.29
103,Barnala,Sangrur,Barnala,25-30,0-5,65-70,27.76,35-40,60-65,70-75,75-80,65-70,INC,46.39,SAD,41.70,PPOP,4.31,AAP,55.68,SAD,23.86,INC,15.07
104,Mehal Kalan (SC),Sangrur,Barnala,0-5,0-5,90-95,31.15,95-100,0-5,65-70,70-75,60-65,INC,44.72,SAD,38.13,PPOP,7.86,AAP,58.77,SAD,25.75,INC,9.60
105,Malerkotla,Sangrur,Sangrur,10-15,45-50,35-40,15.21,35-40,60-65,70-75,75-80,60-65,SAD,49.91,INC,45.33,BSP,1.97,AAP,52.38,SAD,25.20,INC,17.56
106,Amargarh,Fatehgarh Sahib (SC),Sangrur,15-20,10-15,65-70,26.93,80-85,15-20,75-80,80-85,65-70,SAD,33.14,INC,29.37,PPOP,19.88,AAP,40.21,SAD,29.94,INC,27.09
107,Dhuri,Sangrur,Sangrur,20-25,0-5,70-75,28.39,70-75,25-30,70-75,75-80,65-70,INC,45.65,SAD,34.60,PPOP,13.89,AAP,54.48,SAD,25.31,INC,15.00
108,Sangrur,Sangrur,Sangrur,30-35,0-5,60-65,28.26,50-55,40-45,70-75,75-80,65-70,SAD,42.59,INC,38.88,PPOP,14.11,AAP,43.78,INC,26.60,SAD,24.81
109,Nabha (SC),Patiala,Patiala,15-20,0-5,75-80,28.54,60-65,35-40,75-80,80-85,70-75,INC,52.20,SAD,33.62,CPI,6.83,AAP,41.80,INC,30.19,SAD,21.77
110,Patiala Rural,Patiala,Patiala,35-40,0-5,50-55,17.89,60-65,35-40,75-80,80-85,70-75,INC,48.52,SAD,26.95,IND,16.05,AAP,42.68,INC,32.07,SAD,19.74
111,Rajpura,Patiala,Patiala,45-50,0-5,45-50,20.05,45-50,50-55,80-85,85-90,75-80,INC,57.69,BJP,29.40,PPOP,4.92,INC,33.04,SAD,31.20,AAP,29.94
112,Dera Bassi,Patiala,S.A.S. Nagar,55-60,0-5,35-40,22.54,45-50,50-55,80-85,85-90,75-80,SAD,44.68,IND,36.18,INC,6.70,SAD,52.43,INC,21.22,AAP,19.99
113,Ghanaur,Patiala,Patiala,30-35,0-5,65-70,25.04,95-100,0-5,70-75,75-80,65-70,SAD,45.27,INC,43.71,BSP,3.79,SAD,33.12,INC,32.22,AAP,26.67
114,Sanour,Patiala,Patiala,40-45,0-5,55-60,22.28,80-85,15-20,70-75,75-80,65-70,INC,48.95,SAD,46.26,BSP,2.08,AAP,34.69,SAD,29.60,INC,29.11
115,Patiala,Patiala,Patiala,35-40,0-5,50-55,10.53,0-5,95-100,75-80,80-85,65-70,INC,69.13,SAD,24.83,PPOP,2.98,INC,43.45,AAP,35.85,SAD,16.42
116,Samana,Patiala,Patiala,30-35,0-5,60-65,27.16,75-80,20-25,65-70,70-75,60-65,SAD,50.04,INC,44.68,BSP,2.40,INC,31.92,SAD,31.34,AAP,30.16
117,Shutrana (SC),Patiala,Patiala,35-40,0-5,60-65,32.51,80-85,15-20,60-65,65-70,55-60,SAD,39.88,INC,39.24,PPOP,13.93,AAP,33.91,SAD,30.32,INC,28.83
