AC No., AC ,PC,District,Percentage of total population,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
,,,,Hindu Range,Muslim Range,SC%,Rural Range,Urban Range,Person,Male,Female,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age
104,Etah,Etah,Etah,85-90,5-10,13.57,65-70,30-35,70-75,80-85,60-65,SP,24.02,BSP,22.04,BJP,20.09,BJP,53.64,SP,26.41,BSP,15.83
105,Marhara,Etah,Etah,90-95,5-10,16.28,90-95,0-5,65-70,80-85,55-60,SP,36.16,JaKP,23.14,BSP,17.74,BJP,58.36,SP,25.95,BSP,12.06
106,Jalesar (SC),Agra (SC),Etah,85-90,10-15,19.65,85-90,10-15,65-70,75-80,55-60,SP,36.97,BSP,21.91,INC,13.91,BJP,48.17,SP,31.28,BSP,16.55
107,Mainpuri,Mainpuri,Mainpuri,90-95,5-10,18.92,60-65,35-40,75-80,85-90,65-70,SP,32.94,BSP,24.43,INC,14.55,SP,51.12,BJP,26.28,BSP,19.17
108,Bhongaon,Mainpuri,Mainpuri,90-95,0-5,19.06,85-90,10-15,75-80,85-90,65-70,SP,40.78,BSP,22.99,INC,15.12,BJP,40.01,SP,39.41,BSP,16.70
109,Kishani (SC),Mainpuri,Mainpuri,95-100,0-5,21.50,90-95,5-10,75-80,80-85,65-70,SP,50.25,BSP,27.41,BJP,13.86,SP,55.76,BJP,23.90,BSP,17.27
110,Karhal,Mainpuri,Mainpuri,90-95,5-10,19.53,90-95,5-10,70-75,80-85,60-65,SP,46.90,BSP,31.22,BJP,6.65,SP,66.55,BJP,18.57,BSP,12.20
111,Gunnaur,Badaun,Budaun,85-90,10-15,12.45,90-95,5-10,45-50,55-60,30-35,SP,53.19,INC,30.08,BSP,9.57,SP,59.53,BJP,27.44,BSP,9.36
112,Bisauli (SC),Badaun,Budaun,75-80,15-20,21.01,85-90,10-15,50-55,60-65,40-45,SP,44.33,BSP,23.02,BJP,20.25,SP,45.76,BJP,35.12,BSP,15.07
113,Sahaswan,Badaun,Budaun,70-75,25-30,15.94,80-85,15-20,40-45,50-55,30-35,SP,33.01,BSP,29.83,RPD,25.45,SP,52.31,BJP,23.26,BSP,20.62
114,Bilsi,Badaun,Budaun,80-85,15-20,20.44,75-80,20-25,50-55,60-65,40-45,BSP,32.43,SP,27.74,MD,13.15,SP,39.59,BJP,36.39,BSP,19.64
115,Badaun,Badaun,Budaun,65-70,30-35,16.04,60-65,35-40,55-60,65-70,45-50,SP,32.44,BJP,24.47,BSP,23.06,SP,44.24,BJP,40.39,BSP,11.66
116,Shekhupur,Aonla,Budaun,70-75,25-30,17.40,85-90,5-10,50-55,60-65,40-45,SP,32.76,INC,28.82,BSP,24.85,BJP,32.93,SP,28.80,BSP,23.34
117,Dataganj,Aonla,Budaun,80-85,10-15,15.65,80-85,10-15,50-55,60-65,40-45,BSP,29.64,SP,27.16,INC,24.92,BJP,40.53,BSP,23.87,SP,22.89
118,Baheri,Pilibhit,Bareilly,50-55,40-45,14.47,80-85,15-20,55-60,65-70,45-50,SP,23.98,BJP,23.97,BSP,19.02,BJP,44.87,SP,29.29,BSP,21.11
119,Meerganj,Bareilly,Bareilly,65-70,30-35,12.46,80-85,15-20,50-55,60-65,35-40,BSP,31.23,BJP,26.93,SP,19.19,BJP,50.96,SP,25.91,BSP,14.91
120,Bhojipura,Bareilly,Bareilly,50-55,40-45,11.10,80-85,15-20,50-55,65-70,40-45,IEMC,32.55,SP,23.63,BJP,17.03,BJP,45.27,SP,33.36,BSP,12.98
121,Nawabganj,Bareilly,Bareilly,65-70,30-35,14.06,85-90,10-15,60-65,70-75,45-50,SP,35.58,BSP,26.17,PECP,20.39,BJP,49.68,SP,28.96,BSP,10.97
