No. of AC,Name of AC,Phase,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,,19th Position,,,,20th Position,,,,21th Position,,,,22th Position,,,,23th Position,,,,24th Position,,,,25th Position,,,,26th Position,,,,27th Position,,,
,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Mohammdi,II,BJP,Lokendra Pratap Singh,93000,42.44,INC,Sanjay Sharma,59082,26.96,33918,15.48,BSP,Daud Ahmad,57902,26.42,JAM,Adesh Kumar,1207,0.55,IND,Nar Singh,1187,0.54,2330,1.06,4438,2.03,219146,RLD,Rambeti Sharma,1151,0.53,IND,Om Prakash,626,0.29,IND,Rachana,622,0.28,BSS,Malkeet Singh,615,0.28,SPOI,Saziya Khatoon,483,0.22,RJDP,Harishankar,471,0.21,BhKD,Ramrati,470,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Maholi,II,BJP,Shashank Trivedi,80938,33.49,SP,Anoop Kumar Gupta,77221,31.95,3717,1.54,BSP,Mahesh Chandra Mishra,60917,25.20,LD,Mahendra Singh Verma,11214,4.64,RLD,Vineet Kumar,1554,0.64,1665,0.69,8190,3.39,241699,BSS,Amit Singh,1482,0.61,IND,Raja Ram,1304,0.54,IND,Subedar,1019,0.42,IND,S. P. Singh,943,0.39,IND,Ashish Kumar,694,0.29,RPI(A),Dr. Vijay Shree,621,0.26,CPI(ML)(L),Sarojani Devi,575,0.24,JHSP,Ramautar Nishad,549,0.23,IND,Mahanand Bajpai,548,0.23,UPRP,Khushi Ram Choudhari,455,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Sitapur,III,BJP,Rakesh Rathore,98850,42.21,SP,Radhey Shyam Jaiswal,74011,31.60,24839,10.61,BSP,Ashfaq Khan,52181,22.28,IND,Rakesh,1706,0.73,RLD,Satrohan Lal,1059,0.45,1842,0.79,4549,1.94,234198,IND,Rupendra Kumar,834,0.36,LD,Pradeep Mishra,787,0.34,IND,Dinesh Jaiswal 'Dinnu',655,0.28,IND,Narayan Urf Ramnarayan,461,0.20,VIP,Eraj Beg,407,0.17,BSS,Satyendra Kumar,329,0.14,SDU,Vishwadeep Anand,303,0.13,AIPJSP,Tilak Ram Lodhi,261,0.11,IND,Ajay Kumar Thakur,260,0.11,UPRP,Konika,252,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Hargaon (SC),III,BJP,Suresh Rahi,101680,45.95,BSP,Ramhet Bharti,56685,25.62,44995,20.33,SP,Manoj Kumar Rajvanshi,50211,22.69,SSAP,Amit Kumar,2700,1.22,PECP,Ramnaresh,2648,1.20,2220,1.00,5117,2.31,221261,CPI(ML)(L),Arjun Lal,2053,0.93,IND,Khlawn,1053,0.48,RLD,Mohan Lal,1025,0.46,BSS,Jagpal,986,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Laharpur,III,BJP,Suneel Verma,79467,34.62,BSP,Mo. Jasmeer Ansari,70349,30.65,9118,3.97,INC,Anil Kumar Verma,67102,29.23,LGP,Neeraj Kumar Verma,1682,0.73,RLD,Rajkumar,1580,0.69,2861,1.25,6514,2.84,229555,IND,Sundari Devi,1299,0.57,IND,Vinod Kumar,1100,0.48,IND,Ramsanehi,1038,0.45,SDU,Maiku Lal,927,0.40,AWSP,Suresh Chandra,698,0.30,BSS,Rajesh Kumar Rathour,496,0.22,IND,Rakesh Kumar,493,0.21,IND,Mantoona,463,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Biswan,III,BJP,Mahendra Singh,81907,35.92,SP,Afzaal Kausar,71672,31.43,10235,4.49,BSP,Nirmal Verma,65040,28.52,IND,Sunila,2035,0.89,RLD,Ram Prakash Singh Chauhan,1716,0.75,2080,0.91,3604,1.58,228054,IND,Ram Sanehi,1176,0.52,BSS,Sangeeta Sharma,789,0.35,IND,Jan Aalm,715,0.31,IND,Ramesh,495,0.22,AIPJSP,Ram Lakhan Gautam,429,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Sevata,III,BJP,Gyan Tiwari,94697,44.23,BSP,Engineer Mohammad Nasim,51038,23.84,43659,20.39,SP,Shiv Kumar Gupta,43488,20.31,LD,Rampal Yadav,13130,6.13,RVP,Amarjeet Singh,2470,1.15,2990,1.40,6273,2.93,214086,IND,Udai Bhanu Singh,1779,0.83,SDU,Kamal Ahemad,1106,0.52,IND,Nur Moahmmad,981,0.46,JHSP,Shanti Devi Nishad,972,0.45,SP(I),Dr. Shuchita,846,0.40,SPOI,Anupam Mishra,589,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Mahmoodabad,III,SP,Narendra Singh Verma,81469,38.67,BJP,Asha Maurya,79563,37.77,1906,0.90,BSP,Pradyumn Verma,45050,21.38,RLD,Bhola Nath Verma,1175,0.56,BSS,Ramesh Chandra,857,0.41,1898,0.90,650,0.31,210662,IND,Gyan Sagar Gupta,650,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Sidhauli (SC),III,BSP,Hargovind Bhargava,78506,33.73,SP,Manish Rawat,75996,32.65,2510,1.08,BJP,Ram Bakash Rawat,68956,29.63,RKSP,Indrapal,2442,1.05,LD,Subodh Kumar,1692,0.73,2169,0.93,2976,1.28,232737,AWSP,Mahendra Kumar,1439,0.62,IND,Ganga Ram,870,0.37,RJDP,Kamlesh Kumar,667,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Misrikh (SC),III,BJP,Ram Krishna Bhargava,86403,39.33,BSP,Manish Kumar Rawat,65731,29.92,20672,9.41,SP,Ram Pal Rajvanshi,61231,27.87,RLD,Sunita Chaudhary,1243,0.57,IND,Harinam,860,0.39,2222,1.01,2005,0.91,219695,IND,Neelkanth,700,0.32,IND,Rampal Rajvanshi,678,0.31,BSS,Ajay Prakash,627,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Sawaijpur,III,BJP,Kunvar Madhvendra Pratap,92601,39.94,SP,Padamrag Singh Yadav,65631,28.31,26970,11.63,BSP,Dr. Anupam Dubey Advocate,59791,25.79,JAM,Yadunandan Lal,3569,1.54,IND,Neeraj Kumar,1620,0.70,1831,0.79,6799,2.93,231842,RLD,Mohammad Alay Raza,1503,0.65,MD,Sunit Kumar Singh,1150,0.50,IND,Sudhir Kumar,980,0.42,IND,Jag Jivan,754,0.33,BMUP,Anil Kumar,627,0.27,IND,Ajay Pratap Singh,411,0.18,RSVP,Raj Prakash Singh,400,0.17,BhKD,Ramesh Chandra,341,0.15,RJPP,Udit Pratap Singh,329,0.14,RJDP,Manoj Kumar,304,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Shahabad,III,BJP,Rajani Tiwari,99624,45.30,BSP,Asif Khan,95364,43.36,4260,1.94,SP,Sartaj Khan,15767,7.17,RLD,Shobhit Pathak,1477,0.67,IND,Saurabh Kumar,1469,0.67,2615,1.19,3623,1.65,219939,IND,Ashutosh,704,0.32,IND,Furqan Khan,581,0.26,BSS,Dinesh Kumar,448,0.20,RSVP,Pradeep,361,0.16,MKP,Shahwaz Husain Khan,351,0.16,JAM,Mahendra,338,0.15,BMUP,Rajkumar Jindal,314,0.14,LD,Pramod Kumar,297,0.14,BMP,Rajdevi,229,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Hardoi,III,SP,Nitin Agarwal,97735,42.43,BJP,Raja Bux Singh,92626,40.21,5109,2.22,BSP,Dharmveer Singh,30628,13.30,CPI,Sulabh Trivedi,2000,0.87,IND,Sandeep Bhadauriya,1235,0.54,2203,0.96,3934,1.71,230361,IND,Surendra Nath,844,0.37,IND,Suman Gupta,824,0.36,IND,Sanjeev Kumar,794,0.34,BMUP,Brahmesh Chandra Satyarthi,434,0.19,IND,Rajesh Kumar Kanaujiya,359,0.16,IND,Shrikrishan Verma,260,0.11,IND,Kamlesh Kumar,234,0.10,IND,Rakesh Kumar,185,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Gopamau (SC),III,BJP,Shyam Prakash,87871,43.28,SP,Rajeshwari,56493,27.82,31378,15.46,BSP,Meena Kumari,49847,24.55,IND,Mevaram Verma,1632,0.80,RSVP,Munshi Lal,1386,0.68,2252,1.11,3551,1.75,203032,IND,Tarun Pratap,1346,0.66,IND,Shiv Kumar,767,0.38,BMUP,Raj Bahadur,534,0.26,IND,Chakrapal,487,0.24,BSS,Ram Lakhan,417,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Sandi (SC),III,BJP,Prabhash Kumar,72044,38.79,INC,Omendra Kumar Verma,51819,27.90,20225,10.89,BSP,Virendra Kumar,50725,27.31,IND,Urmila Devi,1456,0.78,IND,Santosh,1227,0.66,2222,1.20,6219,3.35,185712,CPIM,Santosh Verma,1139,0.61,IND,Meena Devi,1111,0.60,IND,Prem Chand,905,0.49,IND,Anand Kumar,737,0.40,BSS,Virendra Kumar,556,0.30,BMUP,Vijay Bahadur,474,0.26,IND,Upendra Kumar,462,0.25,BhKD,Krishna Kumar,426,0.23,RSVP,Ram Lakhan Gautam,409,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Bilgram-Mallanwan,III,BJP,Ashish Kumar Singh Ashu,83405,37.61,SP,Subhash Pal,75380,33.99,8025,3.62,BSP,Anurag Mishra,51502,23.22,AIMEIM,Abdul Aziz,2716,1.22,IND,Vimal Singh Patel,1569,0.71,1826,0.82,5393,2.43,221791,IND,Ram Senehi Srivastav,1336,0.60,RLD,Abdul Rauf,846,0.38,IND,Mahesh Prasad,567,0.26,BhKD,Abhishek Patel,559,0.25,IND,Harish Chandra Yadav,514,0.23,PECP,Ashwani Kumar,376,0.17,BSS,Suraj Bali,364,0.16,IND,Devi Charan,344,0.16,JAM,Ramdin Rathaur,302,0.14,BMP,Neelam,185,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Balamau (SC),III,BJP,Ram Pal Verma,74917,39.85,BSP,Neelu Satyarthi,52029,27.68,22888,12.17,SP,Sushila Saroj,43507,23.14,JAM,Surendra Kumar,7734,4.11,SSAP,Dilip Manjhi,1165,0.62,2005,1.07,6640,3.53,187997,RLD,Rajeswari,1087,0.58,IND,Nawal Kishor,1003,0.53,UPRP,Dr. Ashok Kumar,868,0.46,IND,Hari Karan,781,0.42,IND,Arun Kumar,688,0.37,BSS,Bhagwan Deen,668,0.36,BMUP,Pappu,632,0.34,LD,Tilak Chandra,544,0.29,BhKD,Pankaj Kumar,369,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Sandila,III,BJP,Raj Kumar Agrawal Urf Rajia,90362,45.49,SP,Abdul Mannan,69959,35.22,20403,10.27,BSP,Pawan Kumar Singh,29223,14.71,CPI,Yogendra Singh,1387,0.70,RJDP,Dinesh,1051,0.53,1532,0.77,5135,2.58,198649,IND,Shareef,950,0.48,RLD,Ganga Ram,812,0.41,IND,Vimal Kumar Pandey,732,0.37,IND,Ram Ratan Lal Verma,609,0.31,IND,Shubham,528,0.27,IND,Jagannath,514,0.26,BhKD,Pankaj Pandey,356,0.18,BSS,Ramesh,337,0.17,IND,Mujammil,297,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Bangermau,III,BJP,Kuldeep Singh Sengar,87657,43.38,SP,Badaloo Khan,59330,29.36,28327,14.02,BSP,Mohd Irashad Khan,44730,22.14,IND,Sundar Lal,1504,0.74,RLD,Shree Kant Verma,1281,0.63,1873,0.93,5689,2.82,202064,IND,Manoj Kumar,1114,0.55,IND,Yadunandan Prasad,1079,0.53,NISHAD,Shailendra Kumar Alias Shailendra Singh,967,0.48,BSS,Kaushalendra Singh,445,0.22,IND,Manish Kumar,394,0.19,IND,Faiz Ur Rehman,388,0.19,HKD,Rajesh Kumar,355,0.18,BSCP,Rajendra Kumar,353,0.17,PECP,Gulistan Khan,303,0.15,MWSP,Babu Ram,291,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Safipur (SC),III,BJP,Bamba Lal,84068,42.63,BSP,Ram Baran,56832,28.82,27236,13.81,SP,Sudhir Kumar,48506,24.59,RLD,Bablu Rawat,2056,1.04,IND,Swarit Chaudhary,1165,0.59,1820,0.92,2778,1.41,197225,JANP,Samar Prabhakar,990,0.50,IND,Suresh,946,0.48,IND,Suresh,842,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Mohan (SC),III,BJP,Brijesh Kumar,104884,51.78,BSP,Radhe Lal Rawat S/O Munnu,50789,25.08,54095,26.70,INC,Bhagwan Das Katheria,34465,17.02,BMUP,Sunil Kumar,3316,1.64,IND,Vinay Chaudhary,3125,1.54,2235,1.10,3724,1.84,202538,JANP,Radhey Lal Paswan,1589,0.78,RLD,Shatrohan Lal Rawat,1285,0.63,IND,Vinod,850,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Unnao,III,BJP,Pankaj Gupta,119669,51.70,SP,Manisha Deepak,73597,31.80,46072,19.90,BSP,Pankaj Tripathi,26739,11.55,IND,Suresh Kumar Pal,4888,2.11,IND,Munnilal,1082,0.47,1843,0.80,3639,1.57,231457,RVIP,Neeraj,761,0.33,SHS,Ram Prasad,662,0.29,IND,Bimlesh,568,0.25,IUML,Mohammad Ahamad,411,0.18,BSS,Shyamal Singh,326,0.14,IND,Ashutosh,314,0.14,IND,Padma Devi,308,0.13,BSCP,Balkrishna,289,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Bhagwantnagar,III,BJP,Hriday Narayan Dikshit,103698,44.25,BSP,Shashank Shekhar Singh,50332,21.48,53366,22.77,INC,Ankit Parihar,49605,21.17,LD,Kripa Shankar Singh,18988,8.10,BSCP,Arjun Singh,1636,0.70,2730,1.16,7346,3.13,234335,RLD,Vinay Kumari Singh,1426,0.61,IND,Rameshwar,1342,0.57,SPOI,Sukhdev,1096,0.47,JAM,Shyam Kumar,1069,0.46,RSP,Ram Kumar Pal,818,0.35,BMUP,Nagendra,808,0.34,RVIP,Shailendra Singh,787,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Purwa,III,BSP,Anil Singh,97567,39.83,BJP,Uttam Chandra Urf Rakesh Lodhi,71084,29.02,26483,10.81,SP,Uday Raj,68114,27.81,RLD,Chhabinath,1318,0.54,BMUP,Shiv Shankar Kushwaha,1033,0.42,2719,1.11,3098,1.26,244933,LD,Chhedi Lal Yadav,962,0.39,IND,Baijnath Pal,961,0.39,JAM,Dr. Rajendra Singh Kushwaha,597,0.24,RSP,Vinod Kumar Pal,578,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Malihabad (SC),III,BJP,Jai Devi,94677,41.58,SP,Rajbala,72009,31.62,22668,9.96,BSP,Satya Kumar Gautam,53481,23.49,RLD,Jagdish Rawat,1972,0.87,BMUP,Kallu,1351,0.59,1692,0.74,2542,1.12,227724,RSVP,Pawan Kumar Saroj,897,0.39,IND,Ramesh Kumar,853,0.37,IND,Jitendra Kumar,792,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Bakshi Kaa Talab,III,BJP,Avinash Trivedi,96482,36.44,BSP,Nakul Dubey,78898,29.80,17584,6.64,SP,Gomti Yadav,74995,28.33,LD,Rajendra Prasad Yadav,4283,1.62,CPIM,Chotelal,1932,0.73,2271,0.86,5901,2.23,264762,PDD,Annpurna Jauhari,1137,0.43,IND,Dinesh Kumar Shukla,1133,0.43,BSCP,Chhaya Asthana,951,0.36,RJDP,Sunil Kumar,852,0.32,IND,Ajeet Kumar,686,0.26,MVP,Rakes Yadav Rana,600,0.23,RSVP,Anoop Kumar,542,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Sarojini Nagar,III,BJP,Swati Singh,108506,37.31,SP,Anurag Alias Anurag Yadav,74327,25.56,34179,11.75,BSP,Shiv Shankar Singh Alias Shankari Singh,71791,24.68,IND,Rudra Daman Singh,20607,7.09,RLD,Sharda Pratap Shukla,4489,1.54,1926,0.66,9201,3.16,290847,RSSP,Kamlesh Kumar,3378,1.16,IND,Ram Dular Singh,1221,0.42,IND,Pramod Kumar,970,0.33,IND,Sanjay,936,0.32,IND,Brijmohan Singh,627,0.22,BSCP,Sunita,584,0.20,BKRP,Lalan Singh,522,0.18,IND,Jimidar,363,0.12,RaJaPa,Sushil Kumar Singh,306,0.11,OP,Shailendra Singh,294,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Lucknow West,III,BJP,Suresh Kumar Shrivastav,93022,42.76,SP,Mod Rehan,79950,36.75,13072,6.01,BSP,Armaan Khan,36247,16.66,AIMEIM,Mohammad Tauheed Siddiqui,1770,0.81,IND,Manoj Kumar Gupta,1053,0.48,635,0.29,4877,2.24,217554,IND,Mod Rafiq Ansari,746,0.34,CPI,Mod Akram Khan,596,0.27,RLD,Pramod Singh Yadav,583,0.27,IND,Jay Singh Alyas Manavtavadi,565,0.26,BDKD,Gulab Ahamad,537,0.25,IND,Syyed Hasan Kausar,499,0.23,BSCP,Prashant Soni,287,0.13,IND,Nitin Dwivedi,248,0.11,LD,Surat Singh,231,0.11,RSVP,Hasan Imaam Abdi,228,0.10,BMUP,Shtendra Kumar Verma,182,0.08,ABVCP,Syyed Farhat Azmi,175,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Lucknow North,III,BJP,Dr.Neeraj Bora,109315,48.27,SP,Abhishek Mishr,82039,36.23,27276,12.04,BSP,Ajay Kumar Srivastava,29955,13.23,IND,Sanjay Singh Rana,749,0.33,SSAP,Dr Seema Singh,663,0.29,1370,0.60,2356,1.04,226447,IND,Ashutosh Singh Chauhan,599,0.26,ABJS,Amar Kumar Raizada,544,0.24,IND,Ansar Ahmad,229,0.10,ISSP,Someshwar Panday,216,0.10,NYP,Neeraj Kumar Jaisawal,194,0.09,PDD,Hemlata Sharma,174,0.08,RSVP,Kafeel Ahmad Khan,139,0.06,MBP,Hasan Agha Jafri,134,0.06,FJP,Shambhu Prasad Divedi,127,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Lucknow East,III,BJP,"Ashutosh Tandan ""Gopal Ji""",135167,59.25,INC,Anurag Singh,55937,24.52,79230,34.73,BSP,Saroj Kumar Shukla,31390,13.76,RLD,Rohit Agarwal,921,0.40,AIFB,Akhilesh Kumar Singh,512,0.22,1747,0.77,2441,1.07,228115,IND,Prabhu Nath Rai,416,0.18,IND,R.D. Shukla,318,0.14,JAM,Subhash Chandra Maurya,316,0.14,UKD,Ratish Chandra Upadhyaya,259,0.11,ISSP,Tej Kumar Shukla,225,0.10,PDD,Sant Amrita Yogi,217,0.10,RSVP,Shravan Kumar Shukla,184,0.08,JaSP,Durgesh Kumar Tiwari,182,0.08,IND,Kailash Bahadur Singh,179,0.08,SBP,Pradeep Kumar Singh (P.K. Singh),145,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Lucknow Central,III,BJP,Brijesh Pathak,78400,40.20,SP,Ravidas Mehrotra,73306,37.59,5094,2.61,BSP,Rajeev Srivastava,24313,12.47,INC,Abdul Maroof Khan,12921,6.63,AIMEIM,Mohammad Irfan,2314,1.19,824,0.42,2947,1.51,195025,RLD,Ramesh Chandra,554,0.28,PDD,Sant Anshumali Yogi,503,0.26,SHS,Shyam Sonkar,254,0.13,RJDP,Amit Singh Aka Anna,252,0.13,NEP,Haseen Khan,233,0.12,SPOI,Suresh Kumar Srivastava,225,0.12,JSVP,Mohammad Arshad Ali,210,0.11,SP(I),Vinod Kumar Trivedi,179,0.09,RSVP,Sarvan Kumar Agarwal,177,0.09,UPRP,Sita Ram,165,0.08,MSP,Anju Vishwakarma,104,0.05,RIP,Dr. Nafees Ahmad,91,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Lucknow Cantt.,III,BJP,Dr. Reeta Joshi,95402,50.90,SP,Aparna Yadav,61606,32.87,33796,18.03,BSP,Yogesh Dixit,26036,13.89,RLD,Virendra Kumar Shukla,720,0.38,SHS,Kunwar Gaurav Upadhyay,397,0.21,1150,0.61,2122,1.13,187433,IND,Chaturi Prasad,388,0.21,IND,Habib Rahmat Siddiqui,253,0.13,IND,Anurag Dixit (Munna),233,0.12,SaSeP,Rajnikant Dubey,208,0.11,ADVP,S.P. Singh,190,0.10,LoSP,Sachchidanand Srivastava,183,0.10,JAM,Manju Maurya,173,0.09,BMUP,Neeraj Kumar Pal,173,0.09,ISSP,Prashant Singh,169,0.09,SPOI,Lakhan Awasthi,152,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Mohanlalganj (SC),III,SP,Ambrish Singh Pushkar,71574,32.16,BSP,Ram Bahadur,71044,31.92,530,0.24,IND,R.K. Chaudhary,55684,25.02,IND,Ajay Pushpa Rawat,9464,4.25,IND,Shrawan Kumar,3406,1.53,3471,1.56,7927,3.56,222570,RSVP,Chandra Devi Ravat,1488,0.67,IND,Hira Lal,1299,0.58,IND,Malti Devi Rawat,1132,0.51,IND,Ram Kumar Valmiki,1017,0.46,IND,Chheda Lal Sathi,1005,0.45,MWKD,Pushpa Rawat Bheem,936,0.42,IND,Meera Devi,582,0.26,NEP,Rakesh Kumar,468,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Bachhrawan (SC),III,BJP,Ram Naresh Rawat,65324,32.97,INC,Shahab Sharan,43015,21.71,22309,11.26,BSP,Shyam Sundar,33582,16.95,IND,Sushil Pasi,23271,11.74,RLD,Ram Lal Akela,21694,10.95,3325,1.68,7936,4.01,198147,IND,Harishchandra,1527,0.77,RJAP,Chandika,1346,0.68,IND,Sant Sharan,1032,0.52,IND,Ram Lakhan,840,0.42,PECP,Ram Naresh,783,0.40,IND,Chandra Kali,724,0.37,MWSP,Manju Devi,578,0.29,IND,Guru Prasad,573,0.29,JANP,Satyesh Kumar,533,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Tiloi,IV,BJP,Mayankeshwar Sharan Singh,96119,49.10,BSP,Mohd. Saood,52072,26.60,44047,22.50,INC,Vinod Kumar Mishra,35837,18.31,RLD,Mo. Tabarakh,1967,1.00,IND,Sitaram,1575,0.80,2567,1.31,5609,2.87,195746,MAP,Jag Prasad,1372,0.70,IND,Ramkalp,956,0.49,IND,Raghuwansh,923,0.47,IND,Jaswant Singh,687,0.35,IND,Imran,612,0.31,BMUP,Santosh Kumar,532,0.27,LSP(S),Rohit,527,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Harchandpur,V,INC,Rakesh Singh,65104,35.10,BJP,Kanchan Lodhi,61452,33.13,3652,1.97,BSP,Manish Kumar Singh,45057,24.29,IND,Rakesh,2277,1.23,IND,Sirazul Haq,1633,0.88,2376,1.28,7590,4.09,185489,BMUP,Anil Kumar,1572,0.85,RLD,Narendra Kumar Yadav,1068,0.58,IND,Sanjay Kumar,1023,0.55,JAM,Ram Baran,938,0.51,BKRP,Harishchandra,773,0.42,IND,Amit Singh,744,0.40,PECP,Sunil Kumar Tiwari,657,0.35,IUML,Mohd. Imran,410,0.22,MWSP,Ramchandra,405,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
